0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
1312,1312,LMC_SC11,333056,5.162461,-68.89783,1849.43,6444.24,19.094,0.086,19.009,0.062,0.092,0.029,19.123,0.052
1313,1313,LMC_SC11,333060,5.163619,-68.89753,1903.86,6446.86,18.934,-0.159,19.093,0.199,0.412,0.647,19.582,0.156
1314,1314,LMC_SC11,333061,5.165708,-68.89739,2002.13,6447.70,19.143,0.833,18.310,0.085,0.053,0.531,19.678,0.140
1315,1315,LMC_SC11,333063,5.163428,-68.89736,1894.88,6448.27,19.924,1.235,18.688,0.240,0.216,0.370,20.298,0.189
1316,1316,LMC_SC11,333066,5.162617,-68.89728,1856.74,6449.01,19.496,0.817,18.678,0.073,0.058,0.693,20.194,0.141
1317,1317,LMC_SC11,333067,5.165386,-68.89717,1986.97,6449.66,19.286,0.970,18.316,0.065,0.046,1.273,20.568,0.200
1318,1318,LMC_SC11,333068,5.165978,-68.89736,2014.79,6447.92,,,19.249,,0.370,,19.322,0.333
1319,1319,LMC_SC11,333070,5.163028,-68.89708,1876.11,6450.78,18.268,-0.005,18.273,0.033,0.041,-0.023,18.245,0.030
1320,1320,LMC_SC11,333071,5.164856,-68.89717,1961.94,6449.90,19.578,0.981,18.596,0.064,0.047,1.116,20.702,0.186
1321,1321,LMC_SC11,333075,5.163397,-68.89686,1893.41,6452.50,19.340,0.957,18.381,0.058,0.072,1.001,20.347,0.160
1322,1322,LMC_SC11,333076,5.164436,-68.89697,1942.20,6451.56,20.166,1.442,18.722,0.209,0.089,0.526,20.697,0.310
1323,1323,LMC_SC11,333077,5.165728,-68.89700,2002.93,6451.24,19.113,0.127,18.986,0.079,0.086,0.155,19.269,0.080
1324,1324,LMC_SC11,333078,5.162664,-68.89675,1858.95,6453.64,19.194,0.880,18.313,0.053,0.043,0.853,20.051,0.112
1325,1325,LMC_SC11,333083,5.162397,-68.89650,1846.42,6455.94,19.097,0.845,18.252,0.067,0.041,1.057,20.161,0.104
1326,1326,LMC_SC11,333084,5.163181,-68.89656,1883.22,6455.31,19.155,0.128,19.027,0.054,0.092,0.171,19.327,0.084
1327,1327,LMC_SC11,333085,5.163275,-68.89656,1887.73,6455.24,19.883,0.824,19.057,0.084,0.083,0.683,20.571,0.188
1328,1328,LMC_SC11,333086,5.164728,-68.89642,1955.95,6456.39,19.173,0.957,18.216,0.097,0.047,0.596,19.774,0.170
1329,1329,LMC_SC11,333087,5.165667,-68.89647,2000.07,6455.73,19.120,0.088,19.031,0.055,0.088,0.147,19.268,0.062
1330,1330,LMC_SC11,333088,5.166144,-68.89647,2022.61,6455.82,18.581,0.048,18.533,0.071,0.072,0.183,18.764,0.228
1331,1331,LMC_SC11,333089,5.166269,-68.89647,2028.51,6455.78,18.454,-0.085,18.540,0.056,0.094,0.177,18.631,0.156
1332,1332,LMC_SC11,333098,5.166314,-68.89592,2030.56,6460.46,18.955,-0.007,18.963,0.065,0.095,-0.049,18.905,0.070
1333,1333,LMC_SC11,333103,5.163664,-68.89544,1905.99,6464.81,18.665,0.093,18.571,0.114,0.066,-0.103,18.562,0.074
1334,1334,LMC_SC11,333106,5.165592,-68.89522,1996.61,6466.60,19.623,0.967,18.655,0.119,0.063,1.260,20.892,0.327
1335,1335,LMC_SC11,333107,5.166042,-68.89522,2017.82,6466.73,19.595,1.033,18.561,0.085,0.059,0.797,20.398,0.199
1336,1336,LMC_SC11,333116,5.163711,-68.89444,1908.17,6473.61,19.571,0.631,18.939,0.300,0.183,,,
1337,1337,LMC_SC11,333118,5.165750,-68.89431,2004.12,6474.74,19.026,0.072,18.955,0.055,0.074,0.024,19.050,0.068
1338,1338,LMC_SC11,333119,5.162714,-68.89428,1861.30,6475.16,18.971,0.048,18.923,0.058,0.084,0.076,19.047,0.044
1339,1339,LMC_SC11,333120,5.164800,-68.89419,1959.44,6475.75,19.367,0.215,19.150,0.123,0.142,0.062,19.429,0.138
1340,1340,LMC_SC11,333129,5.165078,-68.89375,1972.51,6479.57,19.558,1.063,18.494,0.062,0.052,0.980,20.545,0.131
1341,1341,LMC_SC11,333130,5.163294,-68.89350,1888.58,6482.00,,,18.114,,0.770,,20.616,0.552
1342,1342,LMC_SC11,333131,5.165733,-68.89361,2003.35,6480.79,19.973,0.882,19.091,0.157,0.095,0.478,20.455,0.232
1343,1343,LMC_SC11,333133,5.163100,-68.89339,1879.49,6482.84,,,18.843,,0.472,,,
1344,1344,LMC_SC11,333134,5.166100,-68.89344,2020.60,6482.20,18.641,0.326,18.315,0.068,0.053,-0.113,18.529,0.054
1345,1345,LMC_SC11,333135,5.165878,-68.89328,2010.07,6483.48,19.154,0.926,18.228,0.068,0.041,0.626,19.785,0.114
1346,1346,LMC_SC11,333137,5.164997,-68.89319,1968.76,6484.39,19.241,1.006,18.234,0.047,0.037,1.025,20.271,0.114
1347,1347,LMC_SC11,333139,5.163147,-68.89317,1881.73,6484.68,,,18.634,,0.720,,,
1348,1348,LMC_SC11,333140,5.164208,-68.89317,1931.60,6484.70,19.974,1.046,18.926,0.145,0.081,0.901,20.881,0.316
1349,1349,LMC_SC11,333142,5.164328,-68.89294,1937.22,6486.60,18.389,0.094,18.294,0.028,0.045,0.041,18.431,0.033
1350,1350,LMC_SC11,333143,5.165286,-68.89292,1982.31,6486.70,19.459,1.063,18.395,0.141,0.049,1.452,20.918,0.345
1351,1351,LMC_SC11,333145,5.166142,-68.89272,2022.52,6488.43,20.110,1.357,18.752,0.240,0.067,0.872,20.988,0.300
1352,1352,LMC_SC11,333147,5.163419,-68.89264,1894.49,6489.38,18.745,-0.088,18.833,0.056,0.102,-0.095,18.650,0.101
1353,1353,LMC_SC11,333148,5.165239,-68.89258,1980.09,6489.77,18.964,0.049,18.916,0.098,0.083,-0.048,18.916,0.147
1354,1354,LMC_SC11,333149,5.164200,-68.89239,1931.19,6491.50,19.486,0.903,18.582,0.065,0.061,0.695,20.187,0.207
1355,1355,LMC_SC11,333150,5.166525,-68.89244,2040.57,6490.66,18.565,0.118,18.446,0.084,0.117,,,
1356,1356,LMC_SC11,333155,5.162764,-68.89208,1863.66,6494.29,19.962,1.045,18.916,0.078,0.066,0.867,20.835,0.160
1357,1357,LMC_SC11,333156,5.164703,-68.89206,1954.84,6494.23,18.348,-0.071,18.419,0.030,0.045,0.008,18.355,0.089
1358,1358,LMC_SC11,333160,5.164119,-68.89194,1927.50,6495.32,18.512,0.177,18.335,0.027,0.048,0.117,18.630,0.039
1359,1359,LMC_SC11,333161,5.166614,-68.89192,2044.79,6495.32,20.216,1.210,19.005,0.224,0.110,,,
1360,1360,LMC_SC11,333166,5.163617,-68.89164,1903.80,6498.04,17.677,-0.244,17.922,0.225,0.238,-0.047,17.629,0.219
1361,1361,LMC_SC11,333168,5.164381,-68.89144,1939.77,6499.70,20.509,1.602,18.905,0.438,0.114,0.033,20.545,0.298
1362,1362,LMC_SC11,333169,5.164206,-68.89131,1931.51,6500.90,18.873,-0.030,18.903,0.072,0.096,0.089,18.963,0.065
1363,1363,LMC_SC11,333170,5.164597,-68.89125,1949.89,6501.29,19.273,1.011,18.261,0.054,0.040,0.995,20.274,0.145
1364,1364,LMC_SC11,333173,5.165983,-68.89119,2015.16,6501.67,19.667,0.430,19.235,0.227,0.303,,,
1365,1365,LMC_SC11,333177,5.165778,-68.89106,2005.50,6503.00,19.037,0.004,19.032,0.124,0.114,0.649,19.688,0.172
1366,1366,LMC_SC11,333180,5.165053,-68.89064,1971.38,6506.70,18.392,0.011,18.381,0.102,0.118,0.240,18.633,0.048
1367,1367,LMC_SC11,333181,5.165906,-68.89069,2011.46,6506.13,18.314,-0.027,18.341,0.071,0.073,0.074,18.388,0.047
1368,1368,LMC_SC11,333182,5.162572,-68.89056,1854.68,6507.46,19.072,0.095,18.978,0.055,0.078,0.126,19.199,0.080
1369,1369,LMC_SC11,333183,5.165169,-68.89044,1976.85,6508.24,18.386,-0.101,18.488,0.067,0.075,0.099,18.484,0.052
1370,1370,LMC_SC11,333184,5.162411,-68.89036,1847.17,6509.32,19.264,1.015,18.248,0.085,0.040,1.110,20.380,0.151
1371,1371,LMC_SC11,333189,5.164758,-68.89014,1957.48,6511.00,18.988,-0.005,18.993,0.180,0.139,1.244,20.238,0.310
1372,1372,LMC_SC11,333191,5.166275,-68.88964,2028.89,6515.21,19.545,0.979,18.566,0.239,0.081,0.854,20.406,0.244
1373,1373,LMC_SC11,333199,5.165719,-68.88872,2002.77,6523.12,19.268,0.228,19.040,0.118,0.092,0.190,19.460,0.133
1374,1374,LMC_SC11,333200,5.165844,-68.88856,2008.56,6524.75,19.764,0.483,19.280,0.313,0.311,-0.014,19.752,0.426
1375,1375,LMC_SC11,333204,5.165358,-68.88847,1985.77,6525.42,19.567,0.718,18.848,0.095,0.123,0.648,20.219,0.189
1376,1376,LMC_SC11,333205,5.166478,-68.88831,2038.41,6526.72,19.853,1.063,18.788,0.229,0.111,,,
1377,1377,LMC_SC11,333208,5.164300,-68.88814,1936.01,6528.40,18.688,0.596,18.090,0.179,0.187,0.466,19.157,0.156
1378,1378,LMC_SC11,333211,5.163900,-68.88781,1917.13,6531.36,19.087,0.953,18.133,0.176,0.100,0.520,19.611,0.241
1379,1379,LMC_SC11,333215,5.165114,-68.88775,1974.22,6531.68,19.626,1.110,18.515,0.178,0.062,0.172,19.801,0.103
1380,1380,LMC_SC11,333221,5.165956,-68.88731,2013.91,6535.56,20.375,1.318,19.055,0.209,0.085,,,
1381,1381,LMC_SC11,333222,5.166647,-68.88725,2046.40,6536.05,19.457,0.540,18.916,0.273,0.391,,,
1382,1382,LMC_SC11,333225,5.162656,-68.88728,1858.72,6536.19,19.080,0.025,19.055,0.042,0.079,-0.004,19.076,0.040
1383,1383,LMC_SC11,333226,5.164533,-68.88708,1947.04,6537.53,18.993,0.906,18.086,0.229,0.076,0.347,19.343,0.119
1384,1384,LMC_SC11,333227,5.165778,-68.88711,2005.46,6537.23,18.415,0.066,18.349,0.035,0.043,-0.029,18.386,0.038
1385,1385,LMC_SC11,333235,5.162914,-68.88669,1870.81,6541.12,19.412,0.955,18.458,0.063,0.043,0.804,20.222,0.126
1386,1386,LMC_SC11,333237,5.163167,-68.88667,1882.67,6541.41,19.737,0.942,18.794,0.068,0.067,1.052,20.795,0.221
1387,1387,LMC_SC11,333241,5.162511,-68.88644,1851.88,6543.43,19.008,0.156,18.852,0.062,0.107,0.046,19.055,0.068
1388,1388,LMC_SC11,333246,5.163178,-68.88617,1883.19,6545.63,18.770,0.140,18.629,0.036,0.065,0.171,18.942,0.055
1389,1389,LMC_SC11,333247,5.165400,-68.88608,1987.80,6546.22,19.067,0.897,18.169,0.198,0.072,0.808,19.881,0.227
1390,1390,LMC_SC11,333250,5.165686,-68.88589,2001.27,6548.01,20.083,1.194,18.888,0.177,0.070,,,
1391,1391,LMC_SC11,333252,5.165258,-68.88572,1981.16,6549.29,19.349,0.933,18.416,0.246,0.074,0.740,20.096,0.348
1392,1392,LMC_SC11,333255,5.164567,-68.88544,1948.60,6551.93,18.998,0.793,18.205,0.225,0.098,0.632,19.635,0.175
1393,1393,LMC_SC11,333257,5.164400,-68.88544,1940.77,6551.94,19.341,0.002,19.339,0.267,0.304,,,
1394,1394,LMC_SC11,333258,5.164625,-68.88544,1951.25,6551.87,18.148,-0.102,18.250,0.081,0.130,0.141,18.289,0.071
1395,1395,LMC_SC11,333265,5.162814,-68.88503,1866.10,6555.70,19.015,0.856,18.158,0.034,0.040,0.685,19.704,0.075
1396,1396,LMC_SC11,333266,5.163017,-68.88511,1875.71,6554.84,20.069,1.302,18.765,0.096,0.068,0.858,20.933,0.316
1397,1397,LMC_SC11,333267,5.165150,-68.88506,1975.98,6555.10,19.666,1.274,18.390,0.260,0.094,,,
1398,1398,LMC_SC11,333270,5.164292,-68.88500,1935.59,6555.76,19.487,0.444,19.042,0.266,0.157,,,
1399,1399,LMC_SC11,333271,5.165758,-68.88494,2004.61,6556.04,19.321,0.334,18.988,0.091,0.085,0.285,19.608,0.107
1400,1400,LMC_SC11,333275,5.165481,-68.88469,1991.56,6558.30,19.187,0.627,18.560,0.127,0.095,,,
1401,1401,LMC_SC11,333276,5.166047,-68.88475,2018.22,6557.77,18.482,0.135,18.346,0.034,0.044,0.034,18.516,0.035
1402,1402,LMC_SC11,333280,5.163808,-68.88444,1912.93,6560.74,18.161,-0.042,18.203,0.072,0.065,0.374,18.535,0.142
1403,1403,LMC_SC11,333281,5.164153,-68.88456,1929.12,6559.65,19.325,0.716,18.608,0.168,0.095,0.617,19.946,0.256
1404,1404,LMC_SC11,333470,5.165475,-68.91586,1990.79,6287.05,19.507,0.004,19.502,0.089,0.127,0.215,19.723,0.164
1405,1405,LMC_SC11,333472,5.164436,-68.91306,1942.05,6311.61,20.235,0.545,19.690,0.146,0.182,0.322,20.561,0.211
1406,1406,LMC_SC11,333475,5.164461,-68.89681,1943.39,6453.00,19.607,0.139,19.469,0.251,0.194,0.343,19.953,0.256
1407,1407,LMC_SC11,333476,5.165097,-68.88747,1973.49,6534.15,19.588,-0.278,19.867,0.272,0.279,0.641,20.232,0.284
1408,1408,LMC_SC11,333829,5.164131,-68.91875,1927.53,6262.15,19.407,0.170,19.236,0.063,0.090,0.019,19.427,0.062
1409,1409,LMC_SC11,333830,5.166161,-68.91861,2023.00,6262.93,19.941,0.875,19.065,0.130,0.107,1.024,20.971,0.476
1410,1410,LMC_SC11,333837,5.164150,-68.91842,1928.48,6264.96,20.561,1.140,19.420,0.117,0.113,,,
1411,1411,LMC_SC11,333840,5.162825,-68.91831,1866.26,6266.04,,,19.893,,0.177,,21.378,0.435
1412,1412,LMC_SC11,333846,5.165219,-68.91792,1978.76,6269.25,19.486,0.075,19.412,0.071,0.114,0.086,19.574,0.068
1413,1413,LMC_SC11,333848,5.162728,-68.91781,1861.69,6270.48,19.397,0.938,18.459,0.211,0.249,1.367,20.772,0.427
1414,1414,LMC_SC11,333851,5.165372,-68.91769,1985.99,6271.20,19.161,0.015,19.146,0.058,0.075,0.004,19.165,0.053
1415,1415,LMC_SC11,333852,5.166461,-68.91775,2037.12,6270.55,,,19.119,,0.622,,,
1416,1416,LMC_SC11,333853,5.163947,-68.91756,1919.06,6272.50,19.971,0.425,19.546,0.106,0.138,0.345,20.319,0.164
1417,1417,LMC_SC11,333854,5.165619,-68.91756,1997.56,6272.23,19.549,0.171,19.379,0.073,0.106,0.094,19.645,0.107
1418,1418,LMC_SC11,333855,5.163481,-68.91753,1897.03,6272.84,19.598,0.146,19.452,0.115,0.113,-0.221,19.376,0.075
1419,1419,LMC_SC11,333856,5.164531,-68.91753,1946.40,6272.62,19.831,0.237,19.593,0.123,0.115,0.186,20.018,0.127
1420,1420,LMC_SC11,333858,5.166281,-68.91739,2028.57,6273.64,,,19.356,,0.446,,,
1421,1421,LMC_SC11,333864,5.166478,-68.91692,2037.93,6277.67,19.871,1.155,18.714,0.516,0.726,,,
1422,1422,LMC_SC11,333867,5.164203,-68.91694,1931.04,6277.78,20.402,0.961,19.440,0.145,0.124,0.844,21.251,0.333
1423,1423,LMC_SC11,333868,5.165019,-68.91697,1969.38,6277.46,19.569,0.031,19.538,0.113,0.128,0.314,19.885,0.123
1424,1424,LMC_SC11,333869,5.166358,-68.91689,2032.31,6278.10,,,19.099,,0.679,,19.522,0.689
1425,1425,LMC_SC11,333871,5.165931,-68.91678,2012.11,6278.95,18.988,-0.062,19.050,0.105,0.180,0.001,18.988,0.151
1426,1426,LMC_SC11,333872,5.166297,-68.91697,2029.45,6277.35,19.616,0.005,19.612,0.566,0.482,,,
1427,1427,LMC_SC11,333874,5.163350,-68.91658,1891.01,6280.96,19.967,0.211,19.755,0.100,0.140,0.109,20.077,0.114
1428,1428,LMC_SC11,333875,5.165333,-68.91653,1984.06,6281.18,19.925,0.116,19.808,0.109,0.156,0.496,20.423,0.132
1429,1429,LMC_SC11,333876,5.165703,-68.91650,2001.53,6281.57,20.542,1.176,19.365,0.164,0.112,,,
1430,1430,LMC_SC11,333878,5.166053,-68.91642,2017.97,6282.21,19.357,0.436,18.921,0.193,0.079,0.375,19.735,0.192
1431,1431,LMC_SC11,333881,5.165972,-68.91644,2014.20,6281.87,,,19.913,,0.470,,19.881,0.245
1432,1432,LMC_SC11,333883,5.163847,-68.91628,1914.31,6283.52,20.048,0.454,19.593,0.086,0.138,0.280,20.329,0.127
1433,1433,LMC_SC11,333890,5.162447,-68.91606,1848.63,6285.68,20.056,0.608,19.449,0.162,0.116,0.025,20.082,0.104
1434,1434,LMC_SC11,333891,5.163967,-68.91600,1919.91,6285.90,19.152,-0.088,19.240,0.176,0.320,0.039,19.191,0.228
1435,1435,LMC_SC11,333892,5.164333,-68.91603,1937.17,6285.75,19.465,0.120,19.345,0.047,0.106,-0.027,19.438,0.060
1436,1436,LMC_SC11,333900,5.163908,-68.91561,1917.20,6289.39,19.893,0.582,19.311,0.151,0.160,,,
1437,1437,LMC_SC11,333901,5.164536,-68.91569,1946.67,6288.55,20.280,0.268,20.012,0.195,0.211,0.120,20.402,0.207
1438,1438,LMC_SC11,333905,5.164228,-68.91564,1932.14,6289.09,,,19.721,,0.138,,,
1439,1439,LMC_SC11,333906,5.164994,-68.91547,1968.18,6290.36,20.455,0.502,19.953,0.141,0.158,0.569,21.026,0.296
1440,1440,LMC_SC11,333908,5.163772,-68.91556,1910.77,6289.83,20.103,0.579,19.524,0.113,0.132,0.408,20.515,0.172
1441,1441,LMC_SC11,333909,5.164767,-68.91550,1957.58,6290.16,20.961,0.885,20.075,0.236,0.197,-0.149,20.813,0.187
1442,1442,LMC_SC11,333912,5.163683,-68.91542,1906.67,6291.16,,,19.647,,0.126,,,
1443,1443,LMC_SC11,333913,5.164039,-68.91533,1923.28,6291.69,20.286,0.362,19.923,0.221,0.206,,,
1444,1444,LMC_SC11,333917,5.163306,-68.91489,1888.89,6295.59,20.075,0.840,19.234,0.165,0.109,,,
1445,1445,LMC_SC11,333918,5.164589,-68.91511,1949.13,6293.67,20.061,0.366,19.695,0.160,0.189,0.325,20.388,0.239
1446,1446,LMC_SC11,333919,5.165192,-68.91503,1977.49,6294.43,20.377,0.701,19.675,0.207,0.168,,,
1447,1447,LMC_SC11,333920,5.166661,-68.91492,2046.52,6295.03,19.434,0.009,19.425,0.086,0.156,,,
1448,1448,LMC_SC11,333922,5.162819,-68.91492,1866.06,6295.60,20.161,0.421,19.740,0.100,0.133,0.397,20.560,0.151
1449,1449,LMC_SC11,333923,5.163156,-68.91492,1881.85,6295.36,,,19.995,,0.162,,,
1450,1450,LMC_SC11,333924,5.166561,-68.91483,2041.88,6295.94,20.575,0.421,20.153,0.172,0.205,,,
1451,1451,LMC_SC11,333931,5.166386,-68.91475,2033.66,6296.58,19.983,0.161,19.822,0.100,0.163,0.108,20.091,0.107
1452,1452,LMC_SC11,333935,5.163339,-68.91464,1890.42,6297.85,20.445,0.543,19.901,0.308,0.207,-0.343,20.102,0.124
1453,1453,LMC_SC11,333936,5.165347,-68.91444,1984.78,6299.48,19.613,0.271,19.340,0.062,0.128,0.073,19.687,0.085
1454,1454,LMC_SC11,333937,5.166072,-68.91439,2018.82,6299.79,19.372,0.002,19.370,0.073,0.120,0.214,19.587,0.127
1455,1455,LMC_SC11,333942,5.162611,-68.91442,1856.27,6299.98,20.152,0.300,19.852,0.092,0.147,0.281,20.435,0.125
1456,1456,LMC_SC11,333943,5.163194,-68.91447,1883.67,6299.27,20.403,0.330,20.073,0.170,0.208,0.064,20.468,0.154
1457,1457,LMC_SC11,333944,5.164167,-68.91439,1929.32,6299.97,20.101,0.877,19.223,0.276,0.131,1.183,21.292,0.224
1458,1458,LMC_SC11,333945,5.165244,-68.91433,1979.94,6300.27,19.999,0.479,19.520,0.192,0.139,0.193,20.195,0.142
1459,1459,LMC_SC11,333949,5.162892,-68.91406,1869.49,6303.09,19.783,-0.043,19.826,0.056,0.149,-0.019,19.764,0.093
1460,1460,LMC_SC11,333951,5.164339,-68.91400,1937.44,6303.29,19.853,0.015,19.838,0.089,0.168,-0.168,19.685,0.124
1461,1461,LMC_SC11,333952,5.164931,-68.91392,1965.30,6304.00,,,19.893,,0.182,,,
1462,1462,LMC_SC11,333956,5.163014,-68.91378,1875.19,6305.33,20.749,0.849,19.899,0.197,0.155,,,
1463,1463,LMC_SC11,333960,5.163622,-68.91347,1903.78,6307.92,19.432,0.055,19.377,0.053,0.114,0.057,19.489,0.053
1464,1464,LMC_SC11,333961,5.164892,-68.91342,1963.36,6308.40,20.121,0.355,19.765,0.170,0.154,0.392,20.516,0.221
1465,1465,LMC_SC11,333962,5.166486,-68.91353,2038.36,6307.24,19.848,0.087,19.760,0.137,0.152,,,
1466,1466,LMC_SC11,333964,5.165747,-68.91325,2003.63,6309.68,19.521,0.140,19.382,0.173,0.160,0.118,19.639,0.218
1467,1467,LMC_SC11,333968,5.163292,-68.91322,1888.21,6310.21,19.959,0.379,19.578,0.100,0.142,0.327,20.288,0.136
1468,1468,LMC_SC11,333969,5.166000,-68.91331,2015.46,6309.20,,,19.525,,0.650,,,
1469,1469,LMC_SC11,333976,5.165303,-68.91314,1982.76,6310.66,20.461,0.581,19.879,0.191,0.177,0.224,20.687,0.257
1470,1470,LMC_SC11,333980,5.165397,-68.91306,1987.20,6311.59,20.337,0.645,19.690,0.168,0.155,0.622,20.963,0.253
1471,1471,LMC_SC11,333983,5.162675,-68.91286,1859.33,6313.39,20.527,0.836,19.690,0.201,0.131,0.025,20.553,0.182
1472,1472,LMC_SC11,333984,5.166019,-68.91294,2016.41,6312.36,,,18.807,,0.843,,16.674,0.454
1473,1473,LMC_SC11,333988,5.163861,-68.91283,1914.96,6313.52,20.322,0.516,19.805,0.255,0.151,0.259,20.584,0.189
1474,1474,LMC_SC11,333991,5.164997,-68.91267,1968.45,6314.80,18.729,-0.085,18.814,0.184,0.219,-0.325,18.402,0.077
1475,1475,LMC_SC11,333992,5.165733,-68.91256,2003.00,6315.79,19.207,-0.017,19.223,0.143,0.180,1.082,20.294,0.322
1476,1476,LMC_SC11,333994,5.163578,-68.91256,1901.69,6315.98,19.402,0.242,19.162,0.078,0.099,0.028,19.431,0.075
1477,1477,LMC_SC11,333995,5.164692,-68.91253,1954.00,6316.18,19.729,0.263,19.466,0.098,0.120,0.323,20.054,0.144
1478,1478,LMC_SC11,333996,5.165067,-68.91253,1971.69,6316.12,19.607,0.282,19.325,0.368,0.307,0.095,19.703,0.272
1479,1479,LMC_SC11,333997,5.166158,-68.91256,2022.92,6315.76,20.411,0.612,19.798,0.232,0.193,0.013,20.423,0.332
1480,1480,LMC_SC11,334006,5.164517,-68.91228,1945.77,6318.41,,,19.853,,0.166,,,
1481,1481,LMC_SC11,334007,5.165161,-68.91214,1976.04,6319.54,20.164,0.976,19.186,0.162,0.126,,,
1482,1482,LMC_SC11,334008,5.166486,-68.91217,2038.36,6319.07,19.652,0.128,19.523,0.115,0.123,,,
1483,1483,LMC_SC11,334015,5.166339,-68.91169,2031.46,6323.30,19.733,0.233,19.500,0.188,0.127,0.069,19.801,0.181
1484,1484,LMC_SC11,334016,5.164328,-68.91164,1936.99,6323.93,19.748,0.196,19.552,0.114,0.137,0.010,19.758,0.093
1485,1485,LMC_SC11,334018,5.163842,-68.91164,1914.14,6323.87,20.177,0.338,19.838,0.154,0.159,0.278,20.456,0.172
1486,1486,LMC_SC11,334019,5.165628,-68.91139,1998.00,6326.06,,,19.670,,0.407,,18.420,0.522
1487,1487,LMC_SC11,334021,5.162950,-68.91128,1872.26,6327.13,19.079,0.788,18.291,0.183,0.212,0.999,20.083,0.474
1488,1488,LMC_SC11,334022,5.165725,-68.91128,2002.64,6326.92,19.330,0.044,19.286,0.204,0.210,-0.043,19.287,0.255
1489,1489,LMC_SC11,334024,5.165408,-68.91108,1987.70,6328.55,19.603,0.288,19.315,0.193,0.148,0.241,19.847,0.292
1490,1490,LMC_SC11,334029,5.165281,-68.91092,1981.78,6330.13,,,18.214,,0.519,,17.953,0.638
1491,1491,LMC_SC11,334034,5.163431,-68.91078,1894.82,6331.43,19.865,0.432,19.433,0.099,0.135,0.150,20.016,0.119
1492,1492,LMC_SC11,334035,5.164322,-68.91058,1936.65,6333.06,20.157,0.263,19.893,0.274,0.226,0.394,20.554,0.817
1493,1493,LMC_SC11,334039,5.163228,-68.91047,1885.25,6334.23,19.550,0.032,19.518,0.061,0.121,0.170,19.721,0.091
1494,1494,LMC_SC11,334042,5.165578,-68.91031,1995.75,6335.35,19.714,0.364,19.349,0.153,0.147,-0.157,19.558,0.145
1495,1495,LMC_SC11,334043,5.166303,-68.91031,2029.82,6335.40,19.987,0.873,19.113,0.207,0.105,0.338,20.327,0.299
1496,1496,LMC_SC11,334045,5.162875,-68.91019,1868.74,6336.58,19.653,0.590,19.062,0.116,0.095,0.347,20.002,0.154
1497,1497,LMC_SC11,334046,5.164442,-68.91033,1942.37,6335.19,19.889,0.139,19.749,0.153,0.199,-0.038,19.852,0.206
1498,1498,LMC_SC11,334047,5.165703,-68.91022,2001.58,6335.98,19.712,0.159,19.553,0.112,0.176,-0.046,19.666,0.145
1499,1499,LMC_SC11,334053,5.163183,-68.91011,1883.27,6337.20,19.735,0.198,19.537,0.078,0.116,0.331,20.068,0.125
1500,1500,LMC_SC11,334055,5.165531,-68.91008,1993.44,6337.24,20.381,0.475,19.906,0.201,0.223,0.464,20.848,0.483
1501,1501,LMC_SC11,334056,5.166006,-68.91008,2015.79,6337.38,19.911,-0.048,19.960,0.276,0.274,0.386,20.299,0.760
1502,1502,LMC_SC11,334058,5.163122,-68.90997,1880.38,6338.59,19.937,0.465,19.471,0.088,0.112,0.397,20.338,0.150
1503,1503,LMC_SC11,334059,5.164500,-68.90997,1945.08,6338.32,20.388,0.384,20.004,0.184,0.223,0.359,20.750,0.303
1504,1504,LMC_SC11,334060,5.165294,-68.90994,1982.44,6338.66,19.587,0.031,19.556,0.163,0.141,0.131,19.719,0.206
1505,1505,LMC_SC11,334062,5.162711,-68.90981,1860.98,6339.90,20.039,0.142,19.896,0.101,0.151,0.088,20.128,0.140
1506,1506,LMC_SC11,334066,5.163711,-68.90953,1907.96,6342.31,19.535,0.158,19.377,0.112,0.167,-0.051,19.484,0.080
1507,1507,LMC_SC11,334067,5.164825,-68.90961,1960.34,6341.60,20.380,0.450,19.929,0.198,0.146,0.444,20.827,0.284
1508,1508,LMC_SC11,334071,5.163817,-68.90933,1913.01,6344.13,19.324,0.042,19.282,0.062,0.114,-0.141,19.181,0.118
1509,1509,LMC_SC11,334072,5.163858,-68.90950,1914.97,6342.66,19.726,0.116,19.610,0.088,0.154,0.859,20.589,0.301
1510,1510,LMC_SC11,334074,5.163978,-68.90936,1920.53,6343.70,20.337,0.631,19.705,0.204,0.136,,,
1511,1511,LMC_SC11,334075,5.166456,-68.90936,2036.97,6343.40,19.889,0.141,19.748,0.135,0.165,,,
1512,1512,LMC_SC11,334077,5.164881,-68.90917,1962.95,6345.43,19.461,0.180,19.281,0.096,0.129,0.338,19.801,0.126
1513,1513,LMC_SC11,334080,5.165892,-68.90914,2010.47,6345.60,19.236,0.020,19.216,0.086,0.094,0.052,19.288,0.061
1514,1514,LMC_SC11,334083,5.164325,-68.90906,1936.83,6346.41,19.590,-0.042,19.631,0.159,0.187,-0.010,19.580,0.129
1515,1515,LMC_SC11,334087,5.162786,-68.90894,1864.52,6347.42,20.713,0.912,19.800,0.191,0.132,,,
1516,1516,LMC_SC11,334088,5.163339,-68.90889,1890.54,6348.03,,,19.322,,0.113,,,
1517,1517,LMC_SC11,334089,5.164192,-68.90889,1930.62,6347.78,19.581,-0.015,19.595,0.164,0.161,0.325,19.907,0.233
