0,No,Field,StarID,RA,Decl,X,Y,V,V_I,I,Vsig,Isig,B_V,B,Bsig
76,76,LMC_SC10,54901,5.166833,-68.90494,37.46,6266.52,18.464,0.783,17.681,0.107,0.048,,,
77,77,LMC_SC10,54902,5.166697,-68.90467,31.07,6268.83,16.864,-0.072,16.937,0.025,0.039,,,
78,78,LMC_SC10,54903,5.167514,-68.90444,69.45,6270.98,18.911,1.138,17.773,0.060,0.036,0.555,19.471,0.103
79,79,LMC_SC10,54911,5.168036,-68.90383,93.97,6276.37,18.480,1.018,17.461,0.032,0.029,1.004,19.491,0.091
80,80,LMC_SC10,54914,5.167586,-68.90369,72.84,6277.51,18.308,0.840,17.467,0.026,0.028,0.747,19.059,0.054
81,81,LMC_SC10,54919,5.168575,-68.90247,119.20,6288.30,18.722,0.971,17.750,0.098,0.057,0.981,19.710,0.425
82,82,LMC_SC10,54920,5.168672,-68.90208,123.77,6291.75,17.180,0.015,17.165,0.047,0.048,-0.144,17.036,0.033
83,83,LMC_SC10,54925,5.166547,-68.90092,23.84,6301.39,17.975,0.509,17.466,0.052,0.042,,,
84,84,LMC_SC10,54930,5.167178,-68.89944,53.40,6314.28,18.594,0.941,17.652,0.050,0.031,,,
85,85,LMC_SC10,54931,5.168733,-68.89836,126.53,6324.30,18.636,1.045,17.590,0.027,0.028,0.907,19.549,0.049
86,86,LMC_SC10,54937,5.166250,-68.89622,9.58,6342.23,17.614,0.049,17.564,0.033,0.039,,,
87,87,LMC_SC10,54938,5.166083,-68.89575,1.77,6346.12,,,17.971,,0.178,,,
88,88,LMC_SC10,54939,5.167767,-68.89611,80.91,6343.47,18.759,1.292,17.465,0.032,0.027,1.219,19.986,0.090
89,89,LMC_SC10,54942,5.168714,-68.89578,125.42,6346.73,17.207,-0.022,17.229,0.014,0.022,-0.062,17.145,0.014
90,90,LMC_SC10,54945,5.167933,-68.89486,88.66,6354.33,18.436,1.222,17.214,0.039,0.027,1.043,19.486,0.077
91,91,LMC_SC10,54949,5.167369,-68.89419,62.13,6359.99,18.492,1.168,17.323,0.029,0.026,1.167,19.666,0.101
92,92,LMC_SC10,54950,5.168428,-68.89433,111.96,6359.25,17.724,0.105,17.619,0.091,0.039,-0.246,17.477,0.045
93,93,LMC_SC10,54954,5.166525,-68.89350,22.43,6365.81,19.001,1.479,17.520,0.040,0.026,,,
94,94,LMC_SC10,54961,5.168397,-68.89133,110.40,6385.30,18.390,0.972,17.418,0.022,0.021,0.859,19.256,0.044
95,95,LMC_SC10,54965,5.168019,-68.89086,92.60,6389.21,18.782,1.089,17.692,0.059,0.030,0.739,19.526,0.076
96,96,LMC_SC10,54974,5.166153,-68.88861,4.70,6408.27,,,19.668,,0.855,,,
97,97,LMC_SC10,54975,5.166342,-68.88844,13.59,6409.71,17.217,0.052,17.165,0.028,0.072,,,
98,98,LMC_SC10,54978,5.167233,-68.88683,55.47,6424.18,18.522,0.979,17.542,0.024,0.024,,,
99,99,LMC_SC10,54979,5.168028,-68.88675,92.79,6425.14,18.680,0.965,17.714,0.056,0.059,1.044,19.730,0.157
100,100,LMC_SC10,54986,5.168208,-68.88578,101.28,6433.65,18.971,1.033,17.938,0.046,0.037,0.996,19.974,0.085
101,101,LMC_SC10,55108,5.167072,-68.90617,48.73,6255.85,18.478,-0.023,18.500,0.056,0.098,,,
102,102,LMC_SC10,55109,5.167981,-68.90592,91.41,6258.37,19.208,0.673,18.534,0.082,0.071,1.171,20.385,0.192
103,103,LMC_SC10,55123,5.167258,-68.91839,58.08,6149.43,19.191,0.984,18.206,0.044,0.047,1.099,20.297,0.148
104,104,LMC_SC10,55124,5.167756,-68.91850,81.41,6148.68,18.515,-0.007,18.522,0.034,0.065,0.018,18.534,0.034
105,105,LMC_SC10,55137,5.168153,-68.91753,100.08,6157.23,18.423,-0.063,18.486,0.062,0.073,-0.082,18.341,0.056
106,106,LMC_SC10,55142,5.167903,-68.91722,88.36,6159.97,16.085,-0.535,16.621,0.124,0.200,0.488,16.574,0.276
107,107,LMC_SC10,55147,5.167883,-68.91653,87.32,6166.03,19.074,1.129,17.944,0.084,0.059,0.976,20.055,0.312
108,108,LMC_SC10,55153,5.167606,-68.91614,74.35,6169.34,19.889,1.393,18.494,0.082,0.061,,,
109,109,LMC_SC10,55156,5.167914,-68.91586,88.83,6171.75,19.308,1.009,18.299,0.051,0.052,0.953,20.268,0.142
110,110,LMC_SC10,55161,5.166750,-68.91567,34.15,6173.05,18.970,0.893,18.077,0.064,0.042,,,
111,111,LMC_SC10,55162,5.166478,-68.91536,21.28,6175.64,18.947,0.882,18.064,0.086,0.051,,,
112,112,LMC_SC10,55163,5.167544,-68.91550,71.45,6174.67,18.468,0.048,18.420,0.031,0.046,-0.006,18.462,0.027
113,113,LMC_SC10,55166,5.167906,-68.91528,88.39,6176.73,17.995,0.078,17.917,0.025,0.037,0.032,18.027,0.022
114,114,LMC_SC10,55170,5.167644,-68.91514,76.11,6177.96,20.160,1.489,18.669,0.100,0.063,1.347,21.515,0.432
115,115,LMC_SC10,55173,5.166319,-68.91492,13.78,6179.47,19.417,0.857,18.559,0.060,0.060,,,
116,116,LMC_SC10,55176,5.167253,-68.91478,57.64,6181.00,18.201,0.111,18.090,0.033,0.049,0.133,18.335,0.063
117,117,LMC_SC10,55177,5.167725,-68.91464,79.89,6182.27,19.268,1.009,18.257,0.049,0.046,1.001,20.275,0.131
